,region,num_sessions,installs,orders,revenue,regionID,orders/look
0,Krasnodar Krai,1.0,1.0,1.0,1.0,39.0,0.5
1,Moscow Oblast,0.52261649681026,0.480609496190648,0.325434782608695,0.490552224662668,23.0,0.31135142556248724
2,Sverdlovsk Oblast,0.506194346482788,0.457039331004181,0.337536231884057,0.408210114066151,72.0,0.33340577016453715
3,Tatarstan Republic,0.440533059782575,0.35690089436941,0.293043478260869,0.304032879929527,50.0,0.3326010066140105
4,Chelyabinsk Oblast,0.381014525302433,0.379930437934762,0.216159420289855,0.240917617322201,24.0,0.2836629654975449
5,Bashkortostan Republic,0.307544295192021,0.281629489815688,0.192246376811594,0.210251213612574,61.0,0.31255071190893235
6,Novosibirsk Oblast,0.300961474260532,0.300121561740239,0.193405797101449,0.223770484779402,19.0,0.32131321388667883
7,Nizhny Novgorod Oblast,0.273328194140105,0.231265742089111,0.18927536231884,0.200708972166125,62.0,0.3462419288912061
8,Samara Oblast,0.271901764523784,0.256306210586183,0.182898550724637,0.220394682163044,31.0,0.3363320408107141
9,Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,40.0,0.37895556300831423
10,Perm Krai,0.264560204434678,0.237187580077624,0.15463768115942,0.174871187138874,56.0,0.2922542365921124
11,Voronezh Oblast,0.217284685001851,0.211892425672339,0.182246376811594,0.192209818407371,16.0,0.419372347411511
12,Khabarovsk,0.214425755855948,0.188987881325741,0.202028985507246,0.203170379754964,79.0,0.471093093972745
13,Volgograd Oblast,0.153322974014701,0.163356791520053,0.0887681159420289,0.0944764147564752,29.0,0.28948080518421715
14,Irkutsk Oblast,0.149301656479328,0.164614596158774,0.0744202898550724,0.0784919145963214,82.0,0.2492279443174714
15,Krasnoyarsk Krai,0.141729439686306,0.120696120649245,0.0654347826086956,0.0941656747076305,69.0,0.23084400373530145
16,Stavropol Kray,0.139586760305195,0.164739595377528,0.0766666666666666,0.0901287934210246,15.0,0.2746201233521045
17,Khanty-Mansia,0.12934681663399,0.0945665964587721,0.0515942028985507,0.0721828478077196,71.0,0.19944133238526365
18,Saratov Oblast,0.109744031757786,0.166773957662764,0.058695652173913,0.0707327773915678,41.0,0.26742070267410567
19,Tyumen Oblast,0.105762168658609,0.0886494459409628,0.0510869565217391,0.0603531766511343,20.0,0.2415181022178323
20,Udmurtiya Republic,0.100611847256702,0.0812198048762195,0.0521739130434782,0.0524169873400416,59.0,0.2592831483868952
21,Primorye,0.0958894547396917,0.0758885881963237,0.0731884057971014,0.0933380188103355,12.0,0.38162906440433847
22,Yaroslavl Oblast,0.0952703235870759,0.0777573265167092,0.065,0.0757852700625213,66.0,0.34113456086139354
23,Kemerovo Oblast,0.0950548416663125,0.0958212761170242,0.0451449275362318,0.0623025502470061,78.0,0.23746779619449512
24,Altai Krai,0.0918377876380146,0.0959337754139036,0.0444202898550724,0.0491663152407379,17.0,0.24184102751994768
25,Lipetsk Oblast,0.0870577309450248,0.080938556634021,0.0586231884057971,0.0635055292792712,6.0,0.33669145617186175
26,Omsk Oblast,0.0856404061985954,0.077433891038181,0.0330434782608695,0.0415792492634026,21.0,0.192919906196168
27,Transbaikal Territory,0.0788633480427564,0.0978853257167142,0.0609420289855072,0.0489197153731878,,0.38637738885031225
28,Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,,0.46107971778550094
29,Leningrad Oblast,0.0704565181763552,0.0628433572290173,0.0484782608695652,0.0552953007060173,46.0,0.3440296378840519
30,Orenburg Oblast,0.0687326628102484,0.0881322616733645,0.0281159420289855,0.036832325817415,30.0,0.2045311565085564
31,Smolensk Oblast,0.0682470697493732,0.0672073924537971,0.0484782608695652,0.0560862954260039,58.0,0.3551673430639155
32,Kaliningrad Oblast,0.0676127638136051,0.0639808501196867,0.0438405797101449,0.0536504304828356,47.0,0.32420342874168423
33,Murmansk,0.0671544853624041,0.0516293648164698,0.0423188405797101,0.0508643898568301,43.0,0.3150857336731372
34,Vologda Oblast,0.066766010913704,0.0524809219942375,0.0626086956521739,0.0820307304961796,55.0,0.4688665295062821
35,Tula Oblast,0.0666810321280508,0.0700058124636721,0.0434057971014492,0.0580133050285578,65.0,0.3254733446394093
36,Vladimir Oblast,0.0643350106526977,0.0747307829326066,0.039927536231884,0.0475640133930351,22.0,0.3103095486175205
37,Tver Oblast,0.0627507632915925,0.07617608639946,0.0433333333333333,0.0481592261735315,54.0,0.3452813245631006
38,Sakha,0.0616703187311453,0.0550121561740239,0.0393478260869565,0.0413179975279122,67.0,0.3190175346627867
39,Belgorod Oblast,0.061603549685275,0.0784573221417366,0.0485507246376811,0.0670651743091616,26.0,0.3940578496346462
40,Arkhangelskaya,0.0598887991890595,0.0452278423259854,0.0342028985507246,0.0433980955648605,2.0,0.2855533840539317
41,Kaluga Oblast,0.0590420462891585,0.0527668577071393,0.0337681159420289,0.0408745930788236,64.0,0.2859666802252204
42,Ulyanovsk Oblast,0.0565139274159772,0.0567168330197936,0.0302173913043478,0.0359557334373782,63.0,0.2673446412769126
43,Sebastopol City,0.0563621795844537,0.0636183523852975,0.0552898550724637,0.0478224663660884,,0.49048719797658624
44,Ivanovo Oblast,0.0540859621116014,0.0531684176973893,0.0305797101449275,0.0288602279071411,57.0,0.28269544398442137
45,Komi,0.0529842728547409,0.0491559427753576,0.0218115942028985,0.0286750288725113,25.0,0.20583083458270818
46,Tomsk Oblast,0.0528719794594135,0.0361544615346154,0.0246376811594202,0.0318199304370611,18.0,0.23299374651116478
47,Ryazan Oblast,0.0517429755928787,0.0519746751582802,0.0331884057971014,0.0345713569702813,74.0,0.3207044571444116
48,Penza Oblast,0.0484530826054495,0.0435216029899813,0.0244927536231884,0.0313888138963889,28.0,0.25274711438518166
49,Kursk Oblast,0.047803601886529,0.0617402391235054,0.0307971014492753,0.0357423856402375,5.0,0.32212113976660295
50,Dagestan,0.0455971884161775,0.180173873913288,0.0177536231884057,0.0171956396239056,14.0,0.19467892434905992
51,Kirov Oblast,0.0433118660734338,0.0369560190248811,0.0251449275362318,0.0280874534997076,52.0,0.29027758228656586
52,Chuvashia,0.0423103303853787,0.0385950712808044,0.0205072463768115,0.024567259407432,49.0,0.2423432550635228
53,Astrakhan Oblast,0.0407655374604696,0.0516590521309241,0.0221739130434782,0.0271063454819376,33.0,0.27196885439055324
54,Yamalo-Nenets,0.0402556647465507,0.0258560883994475,0.0213768115942028,0.0302330501394743,70.0,0.2655130865282068
55,Bryansk Oblast,0.0388929692194698,0.0416200523746726,0.021231884057971,0.0241580675560992,27.0,0.27295272749891164
56,Karelia,0.0384043412019642,0.0297670014562408,0.0267391304347826,0.0251926248247349,83.0,0.3481264044364732
57,Pskov Oblast,0.0368109889709676,0.0275107655577152,0.0297826086956521,0.0328141050475538,44.0,0.4045342101395496
58,Amur Oblast,0.0362343472111783,0.0307623077355766,0.024927536231884,0.0244038176225103,81.0,0.343976615427942
59,Tambov Oblast,0.0332297401470133,0.0414606783707601,0.019927536231884,0.0223124237119496,73.0,0.2998449001364685
60,Donetsk Oblast,0.0322676588951543,0.0328435447278454,0.0342753623188405,0.0526709653539199,,0.5311101501074145
61,Buryatiya Republic,0.0308381943222031,0.0339904125599215,0.0132608695652173,0.0154662492957194,10.0,0.21500723140053704
62,Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,11.0,0.34913453889881335
63,Kostroma Oblast,0.0273055048043363,0.0301029368566446,0.0183333333333333,0.0210386825310411,53.0,0.3357076432885035
64,North Ossetia–Alania,0.0265133811237837,0.0283982600108749,0.0113043478260869,0.016104134876411,35.0,0.21318193581780462
65,Kurgan Oblast,0.0249534134157222,0.0248982818857382,0.0113768115942029,0.0143020991538372,1.0,0.22796102891147552
66,Oryol oblast,0.0247864908010464,0.0289779438878507,0.015,0.0155723484082441,,0.30258418023754197
67,Novgorod Oblast,0.0240095419036462,0.0257639014756157,0.0169565217391304,0.0142264857569552,4.0,0.3531204761669215
68,Mordoviya Republic,0.0238395843323398,0.0256482771982675,0.0107246376811594,0.0132534769561833,48.0,0.22493340344468168
69,Mariy-El Republic,0.0207317887427388,0.0187248829694814,0.0114492753623188,0.0142557237772818,60.0,0.2761284977479054
70,Kabardino-Balkariya Republic,0.020668054653499,0.0343997850013437,0.00978260869565217,0.0120309389945289,36.0,0.23666012258188077
71,Kamchatka,0.0202553005517551,0.0179670752057799,0.0158695652173913,0.0193120729610306,8.0,0.3917385766960693
72,Khakasiya Republic,0.0171808894850892,0.0200858119636752,0.00637681159420289,0.00679215172963838,75.0,0.1855786221003616
73,Adygeya Republic,0.0153993699430035,0.0132686670708308,0.00978260869565217,0.0109697111132445,37.0,0.3176301605799388
74,Chechnya,0.0142430514667945,0.0738854757157767,0.00623188405797101,0.00793680055576778,32.0,0.21876927400352714
76,Magadan Oblast,0.0111079412675192,0.00585621339866625,0.00739130434782608,0.0114326159778729,7.0,0.33270361130910187
78,Republic of Tyva,0.00776038410411115,0.0072890169436441,0.0031159420289855,0.00507045012128989,76.0,0.2007595234451601
79,Kalmykiya Republic,0.00763595088226189,0.0102374360160249,0.00304347826086956,0.00305370277877311,38.0,0.1992861339600467
84,Ingushetiya Republic,0.00470418277722811,0.0166155211529927,0.00123188405797101,0.00161930327175787,34.0,0.13093496961196782
86,Altai,0.00425804415254906,0.00591871300804369,0.00318840579710144,0.00246694389922464,77.0,0.3743979257698296
89,Karachayevo-Cherkesiya Republic,0.00305316637025256,0.00214529909188067,0.00144927536231884,0.00216603867817851,13.0,0.23733972973751755
92,Yevrey (Jewish) Autonomous Oblast,0.0026282724419868,0.00198123761726489,0.00275362318840579,0.0028895039146589,80.0,0.5238466044114195
107,Chukotka,0.000500767844027508,0.000226561083993225,0.000652173913043478,0.000894451707148448,68.0,0.6511739130434792
